fold,acuracia,precisao_macro,recall_macro,f1_macro,especificidade_macro,auc_roc,tempo_ms_img,throughput_img_s,memoria_mb
sdavc_fold1.keras,0.72325,0.7166763756825906,0.7159027777777777,0.7133956903311742,0.8610515873015873,0.88974673859127,167.05564630031586,5.986029339004205,43.7890625
sdavc_fold2.keras,0.74875,0.7578666974690219,0.7425694444444444,0.7441976946216061,0.8725396825396826,0.9181803261408731,148.50560921430588,6.7337523834329875,104.9453125
sdavc_fold3.keras,0.71725,0.7141192619531752,0.7147222222222221,0.7120623529999177,0.8580357142857142,0.8848943762400793,146.55167853832245,6.823531534908388,24.5078125
sdavc_fold4.keras,0.76175,0.7685212935212934,0.7689583333333333,0.7626995980819569,0.8828769841269842,0.9258122023809525,147.03743517398834,6.800989141416315,-60.4921875
sdavc_fold5.keras,0.725,0.7274097855815053,0.7287499999999999,0.724702700177614,0.863829365079365,0.9002112041170633,144.99939078092575,6.896580700196618,0.43359375
